범죄대분류,범죄중분류,아파트_연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장_노점,숙박업소_목욕탕,유흥접객업소,사무실,공장,공사장_광산,창고,역_대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,살인기수,96,85,0,27,0,0,1,0,2,0,12,16,5,3,1,1,0,0,8,0,2,0,0,5,1,7,1,0,0,0,5,1,1,29
강력범죄,살인미수등,117,107,1,101,0,3,3,1,5,2,16,42,21,2,3,2,2,0,9,2,2,1,1,12,2,2,0,1,0,1,4,1,0,22
강력범죄,강도,78,83,0,252,1,16,82,3,35,1,80,56,23,3,2,1,3,0,11,1,5,1,15,2,3,4,2,0,0,0,9,3,6,40
강력범죄,강간,1308,1074,0,160,2,2,3,1,39,17,1582,282,49,5,2,3,2,0,130,6,22,25,0,16,8,17,1,0,0,2,54,62,1,418
강력범죄,유사강간,176,173,0,33,0,1,1,0,2,6,117,69,6,0,2,0,0,0,51,0,7,7,0,8,4,1,0,0,1,0,14,13,1,83
강력범죄,강제추행,1347,1053,20,3071,32,110,285,19,309,211,1039,3456,490,40,12,12,432,840,1260,98,243,340,11,245,57,28,1,16,11,1,121,84,58,1701
강력범죄,기타 강간_강제추행등,96,92,0,24,0,0,0,0,2,5,53,13,5,0,0,0,1,0,15,0,4,5,0,2,3,2,0,0,0,0,2,8,2,22
강력범죄,방화,352,350,0,227,0,1,6,1,27,26,28,69,48,23,12,13,4,2,6,0,11,9,4,20,14,17,212,0,0,1,51,18,0,139
절도범죄,절도범죄,11515,11542,164,39952,2599,6279,5169,2413,13107,4099,6253,15443,3560,1200,1799,1175,1641,612,4937,670,1914,1441,5078,1619,988,2762,97,18,4,74,9022,986,2996,15681
폭력범죄,상해,4903,3856,42,13802,20,119,236,25,468,426,741,6685,1450,407,319,42,174,58,306,65,411,525,22,441,187,124,34,10,10,7,901,75,80,2795
